number,street,unit,city,postcode,latitude,longitude,reason
3939,EVANSTON RD,,MADISON TWP,43232,39.8970941,-82.8643118,matched EXEMPT
3405,OLDE CAPE E,,MADISON TWP,43232,39.9075187,-82.8623167,no parcel; street parcels=1 dwelling=0
5978,E LIVINGSTON AVE,,REYNOLDSBURG,43232,39.9426397,-82.8357657,matched COMMERCIAL
6139,RADEKIN RD,,REYNOLDSBURG,43232,39.9432672,-82.8318242,matched COMMERCIAL
5042,CHATTERTON RD,APT 9,TRURO TWP,43232,39.9159616,-82.8611486,no parcel; street parcels=12 dwelling=0
3624,TORWOOD RD,,MADISON TWP,43232,39.9031562,-82.8624366,no parcel; street parcels=1 dwelling=1
4636,WINCHESTER PIKE,,MADISON TWP,43232,39.8988314,-82.8785742,no parcel; street parcels=13 dwelling=4
4640,WINCHESTER PIKE,,MADISON TWP,43232,39.8982295,-82.877769,no parcel; street parcels=13 dwelling=4
5200,RUTLEDGE DR S,,MADISON TWP,43232,39.9131372,-82.8586813,no parcel; street parcels=0 dwelling=0
3163,WINCHESTER PIKE,,MADISON TWP,43232,39.9095254,-82.9036,no parcel; street parcels=13 dwelling=4
3429,OLDE CAPE E,,MADISON TWP,43232,39.9073218,-82.862526,no parcel; street parcels=1 dwelling=0
3312,S HAMILTON RD,,MADISON TWP,43232,39.9090515,-82.8806296,matched COMMERCIAL
4987,FULLERTON DR,,MADISON TWP,43232,39.8971601,-82.871615,matched OTHER
3632,TORWOOD RD,,MADISON TWP,43232,39.902995,-82.8625249,no parcel; street parcels=1 dwelling=1
4714,WINCHESTER PIKE,,MADISON TWP,43232,39.8970026,-82.8749467,no parcel; street parcels=13 dwelling=4
5198,OLDE CAPE N,,MADISON TWP,43232,39.9077232,-82.8617724,no parcel; street parcels=1 dwelling=0
4010,SIGNAL DR,,MADISON TWP,43232,39.8957075,-82.8592436,matched COMMERCIAL
4744,WINCHESTER PIKE,,MADISON TWP,43232,39.8963821,-82.873703,no parcel; street parcels=13 dwelling=4
5200,OLDE CAPE N,,MADISON TWP,43232,39.9077778,-82.8616943,no parcel; street parcels=1 dwelling=0
5107,SEDALIA RD,,MADISON TWP,43232,39.9072635,-82.864308,matched COMMERCIAL
5008,CHATTERTON RD,APT 11,TRURO TWP,43232,39.9160153,-82.8622541,no parcel; street parcels=12 dwelling=0
3640,TORWOOD RD,,MADISON TWP,43232,39.9027613,-82.8627375,no parcel; street parcels=1 dwelling=1
6078,E LIVINGSTON AVE,,REYNOLDSBURG,43232,39.9425243,-82.8318599,matched EXEMPT
3066,NOE BIXBY RD,,MADISON TWP,43232,39.9139595,-82.8628458,matched COMMERCIAL
3900,NOE BIXBY RD,,MADISON TWP,43232,39.8972579,-82.8722001,matched COMMERCIAL
3448,S HAMILTON RD,,MADISON TWP,43232,39.9045952,-82.880288,matched COMMERCIAL
2871,BRICE RD,,BRICE,43232,39.9202394,-82.8322063,no parcel; street parcels=386 dwelling=177
