number,street,unit,nearest_parcel_land_use,distance_m,reason
5042,CHATTERTON RD,APT 6,403,42.6,nearest non-residential (403)
5026,CHATTERTON RD,APT 6,403,35.7,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3R,630,9.5,nearest non-residential (630)
0,GERLING BLVD,,599,8.3,nearest non-residential (599)
3232,NOE BIXBY RD,APT 1A,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 3E,630,9.5,nearest non-residential (630)
4990,CHATTERTON RD,APT 1,420,49.4,nearest non-residential (420)
3232,NOE BIXBY RD,APT 2F,630,9.5,nearest non-residential (630)
5016,CHATTERTON RD,APT 12,403,19.1,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3G,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 3K,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 3H,630,9.5,nearest non-residential (630)
4211,WINCHESTER PIKE,,101,39.2,nearest non-residential (101)
4215,WINCHESTER PIKE,,101,51.0,nearest non-residential (101)
0,S HAMILTON RD,,500,34.9,nearest=vacant land
4194,WINCHESTER PIKE,,101,32.4,nearest non-residential (101)
3232,NOE BIXBY RD,APT 3A,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 1J,630,9.5,nearest non-residential (630)
5024,CHATTERTON RD,APT 5,403,8.6,nearest non-residential (403)
5042,CHATTERTON RD,APT 10,403,42.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1L,630,9.5,nearest non-residential (630)
5026,CHATTERTON RD,APT 1,403,35.7,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1M,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 2C,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 2G,630,9.5,nearest non-residential (630)
5020,CHATTERTON RD,APT 11,403,39.2,nearest non-residential (403)
5042,CHATTERTON RD,APT 2,403,42.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2E,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 3B,630,9.5,nearest non-residential (630)
5016,CHATTERTON RD,APT 11,403,19.1,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2D,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 1F,630,9.5,nearest non-residential (630)
5008,CHATTERTON RD,APT 9,403,52.9,nearest non-residential (403)
5008,CHATTERTON RD,APT 2,403,52.9,nearest non-residential (403)
5026,CHATTERTON RD,APT 2,403,35.7,nearest non-residential (403)
4990,CHATTERTON RD,APT 6,420,49.4,nearest non-residential (420)
4990,CHATTERTON RD,APT 7,420,49.4,nearest non-residential (420)
3232,NOE BIXBY RD,APT 1Q,630,9.5,nearest non-residential (630)
5020,CHATTERTON RD,APT 2,403,39.2,nearest non-residential (403)
3431,OLDE CAPE E,,403,32.9,nearest non-residential (403)
3309,JAMES DENNIS DR,,650,92.0,nearest parcel 92m away (> 60m)
5574,SEDALIA DR,,403,50.9,nearest non-residential (403)
5016,CHATTERTON RD,APT 9,403,19.1,nearest non-residential (403)
5000,CHATTERTON RD,APT 1,403,23.6,nearest non-residential (403)
5008,CHATTERTON RD,APT 1,403,52.9,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3C,630,9.5,nearest non-residential (630)
5008,CHATTERTON RD,APT 7,403,52.9,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1K,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 1P,630,9.5,nearest non-residential (630)
5016,CHATTERTON RD,APT 4,403,19.1,nearest non-residential (403)
5572,SEDALIA DR,,403,57.3,nearest non-residential (403)
4480,REINBEAU DR,,403,14.9,nearest non-residential (403)
5560,SEDALIA DR,,403,42.8,nearest non-residential (403)
5116,SEDALIA DR,,425,42.6,nearest non-residential (425)
3405,OLDE CAPE W,,403,50.0,nearest non-residential (403)
5556,SEDALIA DR,,403,45.3,nearest non-residential (403)
5140,SEDALIA DR,,403,61.1,nearest parcel 61m away (> 60m)
3441,OLDE CAPE W,,403,32.3,nearest non-residential (403)
3424,S HAMILTON RD,,495,18.0,nearest non-residential (495)
5576,SEDALIA DR,,403,55.7,nearest non-residential (403)
5554,SEDALIA DR,,403,52.3,nearest non-residential (403)
4990,CHATTERTON RD,APT 3,420,49.4,nearest non-residential (420)
5016,CHATTERTON RD,APT 1,403,19.1,nearest non-residential (403)
