number,street,unit,city,state,zip,census_status
5887,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
3301,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
3269,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
3277,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
3274,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
5938,BEARS RUN RD,,Columbus,OH,43232,No_Match
3368,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
5991,BEARS RUN RD,,Columbus,OH,43232,No_Match
3293,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
3285,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
5871,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
5983,BEARS RUN RD,,Columbus,OH,43232,No_Match
5954,BEARS RUN RD,,Columbus,OH,43232,No_Match
3374,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
5959,BEARS RUN RD,,Columbus,OH,43232,No_Match
5919,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
5975,BEARS RUN RD,,Columbus,OH,43232,No_Match
5994,BEARS RUN RD,,Columbus,OH,43232,No_Match
3261,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
5986,BEARS RUN RD,,Columbus,OH,43232,No_Match
3380,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3266,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
5863,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
5967,BEARS RUN RD,,Columbus,OH,43232,No_Match
6010,BEARS RUN RD,,Columbus,OH,43232,No_Match
5970,BEARS RUN RD,,Columbus,OH,43232,No_Match
6015,BEARS RUN RD,,Columbus,OH,43232,No_Match
5855,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
5903,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
6007,BEARS RUN RD,,Columbus,OH,43232,No_Match
5927,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
3282,CREEK VIEW TRAIL CT,,Columbus,OH,43232,No_Match
6002,BEARS RUN RD,,Columbus,OH,43232,No_Match
5895,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
5911,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
5951,BEARS RUN RD,,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 302,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 206,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 102,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 305,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 203,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 205,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 302,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 307,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 203,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 302,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 105,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 103,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 101,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 206,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 108,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 303,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 108,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 303,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 105,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 304,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 207,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 104,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 104,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 207,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 201,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 306,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 108,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 202,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 106,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 301,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 306,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 204,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 104,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 105,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 208,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 201,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 305,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 306,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 102,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 303,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 305,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 206,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 107,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 204,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 108,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 205,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 308,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 308,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 103,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 103,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 207,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 203,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 302,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 101,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 207,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 204,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 208,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 208,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 201,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 101,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 208,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 204,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 103,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 202,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 301,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 204,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 306,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 301,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 304,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 103,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 107,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 201,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 102,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 105,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 104,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 205,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 305,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 104,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 103,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 306,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 106,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 103,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 304,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 104,Columbus,OH,43232,No_Match
