number,street,unit,city,region,postcode,district,latitude,longitude
3374,ANAWANDA AVE,,COLUMBUS,OH,43213,FRA,39.9748694,-82.9113942
4006,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9584175,-82.8920678
4015,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9580619,-82.8918072
4016,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9584159,-82.8917891
4023,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9580575,-82.8915789
4024,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.958414,-82.8915947
4031,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9580374,-82.8914245
4032,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9584197,-82.8914034
4036,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9584022,-82.891212
4039,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9579944,-82.8911625
4044,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9584185,-82.891007
4048,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9584785,-82.8907996
4052,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9583732,-82.8906344
4056,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9581773,-82.8905294
4060,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.9580246,-82.890579
4064,ANTHONY CT N,,WHITEHALL,OH,43213,FRA,39.957872,-82.8906419
3999,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9571645,-82.8921816
4009,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.957124,-82.8919094
4012,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9574936,-82.8918544
4017,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9571016,-82.8916912
4018,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9574839,-82.8916733
4023,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9571125,-82.8915031
4024,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9574716,-82.8914717
4029,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9570951,-82.8913322
4034,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9574493,-82.8912165
4038,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9576561,-82.8911405
4041,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9578238,-82.8911584
4043,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9570313,-82.891063
4045,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.957084,-82.8907311
4049,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9572575,-82.8906349
4055,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9574226,-82.8906795
4059,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9575725,-82.8906402
4063,ANTHONY CT S,,WHITEHALL,OH,43213,FRA,39.9577145,-82.890641
836,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9609235,-82.8617818
845,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9608402,-82.8622554
846,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9607092,-82.8618008
854,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.960536,-82.86182
862,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9603631,-82.8618191
870,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9601822,-82.8618346
875,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9600743,-82.8623112
878,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9599807,-82.8618505
883,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9598885,-82.8623205
886,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9598334,-82.8618832
891,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9596973,-82.8623329
894,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9596397,-82.8618889
899,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9595267,-82.8623623
902,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9594536,-82.8618982
907,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9593538,-82.8623511
910,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9592961,-82.8619174
915,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.959178,-82.8623703
918,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9591462,-82.8619336
923,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9590076,-82.862393
926,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9589473,-82.861949
931,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9588396,-82.8623921
934,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9587845,-82.861962
939,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9586535,-82.8624215
942,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9585881,-82.8619909
947,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9584546,-82.8624575
950,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9584332,-82.86199
955,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9582867,-82.8624767
958,ANTWERP RD,,WHITEHALL,OH,43213,FRA,39.9582499,-82.8619993
