number,street,unit,city,region,postcode,district,latitude,longitude
500,SCHROCK RD,,Worthington,OH,43229,FRA,40.1016484,-83.0006529
1400,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0985546,-82.9520264
6520,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0977051,-82.9975982
507,SCHROCK RD,,Worthington,OH,43229,FRA,40.1010759,-83.0006921
6800,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1048966,-82.9970283
7086,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1073581,-82.9973283
6320,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0943428,-82.997818
515,SCHROCK RD,,Worthington,OH,43229,FRA,40.1013141,-82.9997311
7029,HUNTLEY RD,APT E,Worthington,OH,43229,FRA,40.1060897,-82.9993295
1375,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.097933,-82.9531492
700,E DUBLIN-GRANVILLE RD,,Worthington,OH,43229,FRA,40.0885679,-83.000235
7044,WORTHINGTON GALENA RD,,Worthington,OH,43229,FRA,40.1073101,-82.9998001
7063,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1067188,-82.9988449
7000,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1055741,-82.9980417
6230,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0930343,-82.9975969
1289,COMMUNITY PARK DR,,Sharon Twp,OH,43229,FRA,40.1005274,-82.9554159
6530,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0979423,-82.9975615
6400,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0956955,-82.9976834
7046,WORTHINGTON GALENA RD,,Worthington,OH,43229,FRA,40.1074531,-82.9996161
6688,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0978295,-82.9578426
6700,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1032535,-82.9979986
547,SCHROCK RD,,Worthington,OH,43229,FRA,40.1008986,-82.9993306
7061,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1067128,-82.9986419
750,E DUBLIN-GRANVILLE RD,,Worthington,OH,43229,FRA,40.0883832,-82.9990597
6665,HUNTLEY RD,UNIT F,Worthington,OH,43229,FRA,40.1030933,-82.99931
