number,street,unit,city,region,postcode,latitude,longitude
7487,SARATOGA AVE,,REYNOLDSBURG,OH,43068,39.9680286,-82.7998505
463,HAWTHORNE PL,,REYNOLDSBURG,OH,43068,39.9721095,-82.825788
7169,CROFTON CT,,REYNOLDSBURG,OH,43068,39.9650784,-82.8080718
815,CROFTON PL,,REYNOLDSBURG,OH,43068,39.9665445,-82.8083905
665,CULPEPPER DR,,REYNOLDSBURG,OH,43068,39.971621,-82.7978809
617,CULPEPPER DR,,REYNOLDSBURG,OH,43068,39.97252,-82.7957462
7826,ASTRA CIR,,REYNOLDSBURG,OH,43068,39.9786777,-82.7959499
7019,BLACKOAK DR,,REYNOLDSBURG,OH,43068,39.9693975,-82.8134048
581,BRICE RD,,REYNOLDSBURG,OH,43068,39.9693921,-82.8271565
6520,OLD CHURCH WAY,,REYNOLDSBURG,OH,43068,39.977955,-82.8275652
1189,WOODWIND DR,,REYNOLDSBURG,OH,43068,39.9567598,-82.8280967
7580,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9560988,-82.7960821
279,N WAGGONER RD,,JEFFERSON TWP,OH,43068,39.9908898,-82.7924652
880,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9643276,-82.8181789
7930,SLATE PARK AVE,,REYNOLDSBURG,OH,43068,39.9682218,-82.7885661
1521,VALLEY DR,,REYNOLDSBURG,OH,43068,39.9537402,-82.7908642
6694,RED FOX RD,,REYNOLDSBURG,OH,43068,39.9650159,-82.8204538
275,ROBIN LN,,REYNOLDSBURG,OH,43068,39.9574061,-82.7916754
1533,MULLIGAN CT,,REYNOLDSBURG,OH,43068,39.9541033,-82.7867181
7372,DAVID AVE,,REYNOLDSBURG,OH,43068,39.9611793,-82.8020974
652,ANDREA PL,,REYNOLDSBURG,OH,43068,39.9675873,-82.8265597
1162,BRIARCLIFF RD,,REYNOLDSBURG,OH,43068,39.9590032,-82.8109946
7426,MARLAN AVE,,REYNOLDSBURG,OH,43068,39.9694545,-82.8017632
7045,TREEBOURNE DR,,REYNOLDSBURG,OH,43068,39.9658811,-82.8090921
317,CHEYENNE WAY,,REYNOLDSBURG,OH,43068,39.976361,-82.8126797
6672,IMPERIAL ROSE PL,,REYNOLDSBURG,OH,43068,39.9571093,-82.8197476
6797,NICE CT,,REYNOLDSBURG,OH,43068,39.9572011,-82.8166659
7963,SLATE PARK AVE,,REYNOLDSBURG,OH,43068,39.9678312,-82.7877555
7943,SLATE PARK AVE,,REYNOLDSBURG,OH,43068,39.9678585,-82.7882323
8106,BELLOW PARK DR,,REYNOLDSBURG,OH,43068,39.9754557,-82.7865186
8055,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9745505,-82.7864234
